doc_id,year,stage,method,classification,title,source
2-s2.0-84922381375,2015,fabrication,bayesian_probabilistic,ambiguous,Process variability-induced NoC link failure: A probabilistic model,Microelectronics Journal
2-s2.0-84940021422,2015,fabrication,classical_ml,ai_for_chips,Circuit Performance Classification with Active Learning Guided Sampling for Support Vector Machines,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems
2-s2.0-84922837643,2015,packaging,classical_ml,ai_for_chips,Energy efficient adaptive clustering of on-chip power delivery systems,Integration the VLSI Journal
2-s2.0-84938359173,2015,fabrication,classical_ml,ai_for_chips,LASIC: Layout Analysis for Systematic IC-Defect Identification Using Clustering,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems
2-s2.0-85027936215,2015,in_field,classical_ml,ai_for_chips,VLSI Design for SVM-Based Speaker Verification System,IEEE Transactions on Very Large Scale Integration VLSI Systems
2-s2.0-84944128473,2015,design,evolutionary_optimization,ambiguous,An intelligent technique for generating equivalent gyrator circuits using Genetic Algorithm,Microelectronics Journal
2-s2.0-84943454004,2015,in_field,generative_adversarial,ambiguous,An athermal measurement technique for long time constants traps characterization in GaN HEMT transistors,Microelectronics Reliability
2-s2.0-84938294081,2015,design,generative_adversarial,ambiguous,Modeling and simulation of oxide dependent 2DEG sheet charge density in AlGaN/GaN MOSHEMT,Journal of Computational Electronics
2-s2.0-84944052776,2015,fabrication,llm_foundation_models,ambiguous,Average latency and link utilization analysis of heterogeneous wormhole NoCs,Integration
2-s2.0-84939479932,2015,design,llm_foundation_models,ai_for_chips,Fault detection in analog and mixed-signal circuits by using Hilbert-Huang transform and coherence analysis,Microelectronics Journal
2-s2.0-85028139553,2015,in_field,llm_foundation_models,ai_for_chips,Leveraging Hotspots and Improving Chip Reliability via Carbon Nanotube Grid Thermal Structure,IEEE Transactions on Very Large Scale Integration VLSI Systems
2-s2.0-84938308846,2015,packaging,llm_foundation_models,ai_for_chips,Leveraging the Error Resilience of Neural Networks for Designing Highly Energy Efficient Accelerators,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems
2-s2.0-84925442400,2015,design,unspecified_ai,unclassified,0.4-V bulk-driven differential-difference amplifier,Microelectronics Journal
2-s2.0-84943455977,2015,design,unspecified_ai,unclassified,16-Channel micro magnetic flux sensor array for IGBT current distribution measurement,Microelectronics Reliability
2-s2.0-84938061580,2015,design,unspecified_ai,ai_for_chips,22 μm-pitch 9-bit Column-Parallel Overlapping-Subrange SAR (CPOSSAR) ADC,Microelectronics Journal
2-s2.0-84940035357,2015,in_field,unspecified_ai,ai_for_chips,3-D Stacked DRAM Refresh Management with Guaranteed Data Reliability,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems
2-s2.0-84938960512,2015,in_field,unspecified_ai,unclassified,3-D simulation study of single event effects of SiGe heterojunction bipolar transistor in extreme environment,Microelectronics Reliability
2-s2.0-84943449358,2015,in_field,unspecified_ai,unclassified,3D simulation of single-event-transient effects in symmetrical dual-material double-gate MOSFETs,Microelectronics Reliability
2-s2.0-85028211516,2015,design,unspecified_ai,unclassified,A 0.1-6.0-GHz dual-path SDR transmitter supporting intraband carrier aggregation in 65-nm CMOS,IEEE Transactions on Very Large Scale Integration VLSI Systems
2-s2.0-85027951173,2015,in_field,unspecified_ai,unclassified,"A 0.325 V, 600-kHz, 40-nm 72-kb 9T subthreshold SRAM with aligned boosted write wordline and negative write bitline write-assist",IEEE Transactions on Very Large Scale Integration VLSI Systems
2-s2.0-84919918400,2015,design,unspecified_ai,unclassified,"A 1-V, 1.2-mA fully integrated SoC for digital hearing aids",Microelectronics Journal
2-s2.0-85027939530,2015,design,unspecified_ai,ai_for_chips,A 1.2-V 450-μW Gm-C Bluetooth Channel Filter Using a Novel Gain-Boosted Tunable Transconductor,IEEE Transactions on Very Large Scale Integration VLSI Systems
2-s2.0-84914811556,2015,design,unspecified_ai,ai_for_chips,A 10-bit 200-MS/s Zero-Crossing-Based Pipeline ADC in 0.13-μ m CMOS Technology,IEEE Transactions on Very Large Scale Integration VLSI Systems
2-s2.0-84930718564,2015,design,unspecified_ai,ai_for_chips,A 10-bit 50 MS/s SAR ADC in 65 nm CMOS with on-chip reference voltage buffer,Integration
2-s2.0-85027933154,2015,design,unspecified_ai,ai_for_chips,A 16-mW 8-Bit 1-GS/s digital-subranging ADC in 55-nm CMOS,IEEE Transactions on Very Large Scale Integration VLSI Systems
2-s2.0-85027929518,2015,design,unspecified_ai,ai_for_chips,A 28-nm CMOS 1 V 3.5 GS/s 6-bit DAC with signal-independent delta-I noise DfT scheme,IEEE Transactions on Very Large Scale Integration VLSI Systems
2-s2.0-85027953089,2015,design,unspecified_ai,ai_for_chips,A 28-nm CMOS 7-GS/s 6-bit DAC with DFT clock and memory reaching SFDR >50 dB Up to 1 GHz,IEEE Transactions on Very Large Scale Integration VLSI Systems
2-s2.0-84939483084,2015,design,unspecified_ai,ai_for_chips,A 30 V rail-to-rail operational amplifier,Microelectronics Journal
2-s2.0-85028214890,2015,design,unspecified_ai,ai_for_chips,A 350-MS/s continuous-time delta-sigma modulator with a digitally assisted binary-DAC and a 5-bits two-step-ADC quantizer in 130-nm CMOS,IEEE Transactions on Very Large Scale Integration VLSI Systems
2-s2.0-84959527246,2015,design,unspecified_ai,unclassified,A 5.4-mW 180-cm Transmission Distance 2.5-Mb/s Advanced Techniques-Based Novel Intrabody Communication Receiver Analog Front End,IEEE Transactions on Very Large Scale Integration VLSI Systems
2-s2.0-84914820690,2015,design,unspecified_ai,ai_for_chips,A 6-bit 2.5-GS/s Time-Interleaved Analog-to-Digital Converter Using Resistor-Array Sharing Digital-to-Analog Converter,IEEE Transactions on Very Large Scale Integration VLSI Systems
2-s2.0-84961305312,2015,design,unspecified_ai,ai_for_chips,"A 6-bit, 500-MS/s current-steering DAC in SiGe BiCMOS technology and considerations for SFDR performance",Microelectronics Journal
2-s2.0-84930503684,2015,in_field,unspecified_ai,unclassified,A CMOS PWM transceiver using self-referenced edge detection,IEEE Transactions on Very Large Scale Integration VLSI Systems
