paper,paper_doi,publication_number,family_id,pub_year,title,assignees,inventors,country_code
DREAMPlace (Lin 2021),10.1109/tcad.2020.3003843,US-12387089-B2,72423013,2025,Efficient neural network accelerator dataflows,NVIDIA CORP,"Shao, Yakun; VENKATESAN, Rangharajan; WANG, MIAORONG; SMITH, DANIEL; DALLY, WILLIAM JAMES; EMER, JOEL",US
DREAMPlace (Lin 2021),10.1109/tcad.2020.3003843,US-12373622-B2,85572433,2025,Reducing crosstalk pessimism using GPU-accelerated gate simulation and machine learning,NVIDIA CORP,"CHHABRIA, VIDYA; KELLER, BENJAMIN ANDREW; ZHANG, YANQING; KHAILANY, BRUCEK KURDO; Ren, Haoxing",US
DREAMPlace (Lin 2021),10.1109/tcad.2020.3003843,US-12141225-B2,74646279,2024,Inference accelerator using logarithmic-based arithmetic,NVIDIA CORP,"DALLY, WILLIAM JAMES; VENKATESAN, Rangharajan; KHAILANY, BRUCEK KURDO",US
DREAMPlace (Lin 2021),10.1109/tcad.2020.3003843,US-12118454-B2,74495605,2024,Neural network accelerator using logarithmic-based arithmetic,NVIDIA CORP,"DALLY, WILLIAM JAMES; VENKATESAN, Rangharajan; KHAILANY, BRUCEK KURDO",US
DREAMPlace (Lin 2021),10.1109/tcad.2020.3003843,US-2024112007-A1,74495605,2024,Neural network accelerator using logarithmic-based arithmetic,NVIDIA CORP,"DALLY, WILLIAM JAMES; VENKATESAN, Rangharajan; KHAILANY, BRUCEK KURDO",US
DREAMPlace (Lin 2021),10.1109/tcad.2020.3003843,US-11886980-B2,74495605,2024,Neural network accelerator using logarithmic-based arithmetic,NVIDIA CORP,"DALLY, WILLIAM JAMES; VENKATESAN, Rangharajan; KHAILANY, BRUCEK KURDO",US
DREAMPlace (Lin 2021),10.1109/tcad.2020.3003843,US-2023089606-A1,85572433,2023,Reducing crosstalk pessimism using gpu-accelerated gate simulation and machine learning,NVIDIA CORP,"CHHABRIA, VIDYA; KELLER, BENJAMIN ANDREW; ZHANG, YANQING; KHAILANY, BRUCEK KURDO; Ren, Haoxing",US
DREAMPlace (Lin 2021),10.1109/tcad.2020.3003843,US-2022076110-A1,72423013,2022,Efficient Neural Network Accelerator Dataflows,NVIDIA CORP,"Shao, Yakun; VENKATESAN, Rangharajan; WANG, MIAORONG; SMITH, DANIEL; DALLY, WILLIAM JAMES; EMER, JOEL",US
DREAMPlace (Lin 2021),10.1109/tcad.2020.3003843,US-11270197-B2,72423013,2022,Efficient neural network accelerator dataflows,NVIDIA CORP,"Shao, Yakun; VENKATESAN, Rangharajan; WANG, MIAORONG; SMITH, DANIEL; DALLY, WILLIAM JAMES; EMER, JOEL",US
DREAMPlace (Lin 2021),10.1109/tcad.2020.3003843,CN-112416297-A,74495605,2021,Neural network accelerator based on logarithm algorithm,NVIDIA CORP,DALLY WILLIAM JAMES; VENKATESAN RANGHARAJAN; KHAILANY BRUCEK KURDO,CN
DREAMPlace (Lin 2021),10.1109/tcad.2020.3003843,US-2021056446-A1,74646279,2021,Inference accelerator using logarithmic-based arithmetic,NVIDIA CORP,"DALLY, WILLIAM JAMES; VENKATESAN, Rangharajan; KHAILANY, BRUCEK KURDO",US
DREAMPlace (Lin 2021),10.1109/tcad.2020.3003843,US-2021056397-A1,74495605,2021,Neural network accelerator using logarithmic-based arithmetic,NVIDIA CORP,"DALLY, WILLIAM JAMES; VENKATESAN, Rangharajan; KHAILANY, BRUCEK KURDO",US
DREAMPlace (Lin 2021),10.1109/tcad.2020.3003843,US-2020293867-A1,72423013,2020,Efficient neural network accelerator dataflows,NVIDIA CORP,"Shao, Yakun; VENKATESAN, Rangharajan; WANG, MIAORONG; SMITH, DANIEL; DALLY, WILLIAM JAMES; EMER, JOEL",US
