doc_id,stage,year,title,source,classification,confidence,reasoning,method_tags,ai_methods,chip_tasks,hw_artifacts,ai_workloads
2-s2.0-84963642564,fabrication,2015,A study of feed-forward strategies for overlay control in lithography processes using CGS technology,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,ai_for_chips,low,Chip design task without explicit AI method,,,lithography_optimization:lithography,,
2-s2.0-84963642828,fabrication,2015,An empirical approach to accurate single wafer wet etch simulation,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84963686049,fabrication,2015,CD metrology for EUV lithography and etch,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,ai_for_chips,low,Chip design task without explicit AI method,,,lithography_optimization:lithography; process_optimization:metrology,,
2-s2.0-84963705366,fabrication,2015,Correlation of non-visual defects at post copper CMP to yield critical physical defects at next metallization layer,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,ai_for_chips,low,Chip design task without explicit AI method,,,process_optimization:cmp,,
2-s2.0-84963684446,fabrication,2015,Device specific characterization of yield limiting pattern geometries by combining layout profiling with high sensitivity wafer inspection,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84963647548,fabrication,2015,Effective wet clean method to eliminate unwanted growth SiGe defect in FinFET,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84963649636,fabrication,2015,Enabling future generation high-speed inspection through a massively parallel e-beam approach,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84963677345,fabrication,2015,Enhanced etch process for TSV & deep silicon etch,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84963642409,fabrication,2015,Impact of molybdenum contamination on stacking faults in epitaxial silicon,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84963657669,design,2015,In-line inspection of DRC generated Hotspots,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,ai_for_chips,low,Chip design task without explicit AI method,,,hotspot_detection:hotspot,,
2-s2.0-84963646112,fabrication,2015,Inspection challenges for triple patterning at sub-14 nm nodes with broadband plasma inspection platforms,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84963674097,fabrication,2015,MEMS manufacturing solutions,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84963670392,fabrication,2015,Methodology to estimate TSV film thickness using a novel inline 'adaptive pattern registration' method,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,ai_for_chips,low,Chip design task without explicit AI method,,,process_optimization:film thickness,,
2-s2.0-84963644345,fabrication,2015,Modelling of the electrochemical etch stop with high reverse bias across pn-junctions,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84963668027,fabrication,2015,Monitoring process-induced focus errors using high-resolution flatness metrology,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,ai_for_chips,low,Chip design task without explicit AI method,,,process_optimization:metrology,,
2-s2.0-84963636096,fabrication,2015,Optimized salicide clean to reduce post fill defectivity,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84963692252,fabrication,2015,Post TSV etch cleaning process development using SAPS megasonic technology,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84959516102,fabrication,2015,Precision wafer bonding process for future cost-effective 3DICs,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84963668012,fabrication,2015,Printability study of reticle defects on wafer using Reticle Defect Review on E-beam review tools,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84963654057,fabrication,2015,Process induced Wafer Geometry impact on center and edge lithography performance for sub 2X nm nodes,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,ai_for_chips,low,Chip design task without explicit AI method,,,lithography_optimization:lithography,,
2-s2.0-84963649896,fabrication,2015,Quick process troubleshooting by using advanced SEM ADC system,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,ai_for_chips,low,Chip design task without explicit AI method,,,analog_circuit_design:adc,,
2-s2.0-84963664697,fabrication,2015,Remote plasma processing for reduction of CuOx before damascene electroplating,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84963706965,fabrication,2015,Shortening of cycle time in semiconductor manufacturing via meaningful lot sizes,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84963677298,fabrication,2015,Spatial risk assessment on circular domains: Application to wafer profile monitoring,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84963677325,fabrication,2015,Standby leakage current reduction in a 180nm EEPROM process technology,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84963706026,fabrication,2015,Through silicon via process characterization by integrated inspection/metrology solutions in visible and infrared domain,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,ai_for_chips,low,Chip design task without explicit AI method,,,process_optimization:metrology,,
2-s2.0-84963656205,fabrication,2015,Use of simulation studies to overcome key challenges in the fab automation of a 300 mm power semiconductor pilot line comprising thin-wafer processing,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84963686064,fabrication,2015,Yield improvement in dense EEPROM by bit mapping and experimental design,2015 26th Annual Semi Advanced Semiconductor Manufacturing Conference Asmc 2015,ai_for_chips,low,Chip design task without explicit AI method,,,yield_prediction:yield improvement,,
2-s2.0-84964558119,fabrication,2015,Variation-aware adaptive tuning for nanophotonic interconnects,2015 IEEE ACM International Conference on Computer Aided Design Iccad 2015,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84962460812,fabrication,2015,Dishing and erosion amount prediction according pattern density calculation algorithm in 3D design layout-Kuang-Wei Chen,2015 Joint E Manufacturing and Design Collaboration Symposium Emdc 2015 and 2015 International Symposium on Semiconductor Manufacturing Issm 2015 Proceedings,unclassified,low,No ontology class pattern matched,,,,,
