doi,n_patents,n_matching_authors,assignees,matched_authors
10.1109/tsm.2021.3072361,9968,8,MARKETING SERVICE CENTER OF STATE GRID HEILONGJIANG ELECTRIC POWER COMPANY LTD; HANGZHOU BINJIANG ZHEJIANG UNIV OF TECHNOLOGY NETWORK SPACE SAFETY INNOVATION RESEARCH INSTITUTE; MATTSON TECH INC; HUBEI ACADEMY OF SPACE TECH INSTITUTE OF MEASUREMENT AND TESTING TECH; SHANGHAI HUALI INTEGRATED CIRCUIT MFG CO LTD,Chih-Chen Lin; Kuang-Wei Chen; Tahone Yang; Yen-Ting Chen; Tuung Luoh
10.1016/j.mejo.2023.105964,6098,3,UNIV SOUTHWEST JIAOTONG; RES INST CHINA MOBILE COMMUNICATIONS CORP; SICHUAN ANIMAL HUSBANDRY SCIENCE RES INSTITUTE; GUONENG RIXIN TECH CO LTD; JIAXING JINXILAI TECH CO LTD,Zhenjie Jin; Limin Yan; Shuyu Chen
10.1016/j.mejo.2023.106072,5573,5,UNIT 61905 OF PLA; UNIV FUDAN; ZHEJIANG SHIKONG ZHIZI BIG DATA CO LTD; CHINA SOUTHERN POWER GRID ELECTRIC POWER TECH CO LTD; STATE GRID DIGITAL TECH HOLDINGS CO LTD,Zhengfeng Huang; Huaguo Liang; Zhao Yang; Jingchang Bian; Yankun Lin
10.1109/tcad.2024.3428469,5324,6,POWERCHINA KUNMING ENG CORP LTD; Shanghai Artificial Intelligence Innovation Center; HEFEI COMPREHENSIVE NATIONAL SCIENCE CENTER ENERGY RES INSTITUTE ANHUI ENERGY LABORATORY; CHEN DONG; BEIJING HUANENG CHANGJIANG ENVIRONMENTAL PROTECTION TECH RESEARCH INSTITUTE CO LTD,Hao Zhang; Ximeng Liu; Chen Dong; Zhenyi Chen; Xiaodong Guo
10.1145/3736165,5048,7,INST OF GEOLOGY AND GEOPHYSICS CHINESE ACADEMY OF SCIENCES; GUANGZHOU MARINE GEOLOGICAL SURVEY SANYA SOUTH CHINA SEA GEOLOGICAL RES INSTITUTE; Lianyungang Real Estate Transaction Registration Center; BEIJING INST AEROSPACE CONTROL DEVICES; UNIV YANGO,Jinlong Yan; Wei Xing; Li Huang; Yangbo Wei; Zhen Huang
10.1109/tsm.2021.3065405,4367,9,NARI SANNENG ELECTRIC POWER METER NANJING CO LTD; UNIV CENTRAL SOUTH; STATE GRID JIANGSU ELECTRIC POWER CO RES INST; GUONENG SHENDONG COAL GROUP CO LTD; ECONOMIC TECH INSTITUTE STATE GRID JILIN ELECTRIC POWER CO LTD,Chen-Shiun Lee; Chun‐Lung Hsu; Hsing-Chung Liang; Sying-Jyan Wang; Andrew Yi-Ann Huang
10.1109/tcad.2021.3117505,4284,2,BEIJING WODONG TIANJUN INFORMATION TECHNOLOGY CO LTD; MCC BEIJING TRAFFIC TECH DEVELOPMENT CO LTD; NINGBO SPECIAL EQUIPMENT INSPECTION CENTER; SHENZHEN INST OF ADV TECH CAS; KINGPAK TECH INC,Yibo Lin; Yayi Wei
10.1109/tcad.2022.3209530,4264,4,CHANGAN UNIV; MBS KOREA; ITPLANET; THINKPOOL CO LTD; GWANGJU INST SCIENCE & TECH,Daeyeon Kim; Sung-Yun Lee; Kyungjun Min; Seokhyeong Kang
10.1016/j.vlsi.2025.102432,4012,4,BEIJING GUOSHENG HUAXING TECH CO LTD; ZHANG FAMILY HARBOR VIGRA CRAFT GLASS PRODUCT LTD COMPANY; QINGDAO SHAMU NEW MAT CO LTD; Hunan Meteorological Service Center; JINING POWER SUPPLY CO OF STATE GRID SHANDONG ELECTRIC POWER CO,Xiao Wei; Fazhan Zhao; LI Qing; Tianming Wang
10.1109/tsm.2023.3336909,3938,10,DRAPH INC; INTUBE CO LTD; UNIV CHINA GEOSCIENCES BEIJING; ZHONGSHAN OPHTHALMIC CT SUN YAT SEN UNIV; GUANGDONG XUANYUAN NETWORK & TECH CO LTD,Dongcheol Lee; Tae-Hyung Kim; Eunzi Kim; Si-Woo Kim; Woosub Kim
10.1109/tvlsi.2025.3529699,3787,5,FOSHAN CITY SHUNDE DISTR JINGYI WANXI COPPER CO LTD; SUZHOU SHUZHI YUANYU ARTIFICIAL INTELLIGENCE TECH CO LTD; ANHUI EMI TECH CO LTD; JINGMEN POWER SUPPLY COMPANY STATE GRID HUBEI ELECTRIC POWER CO LTD; LONGGANG POWER SUPPLY COMPANY STATE GRID ZHEJIANG ELECTRIC POWER CO LTD,Mingwei Cao; Chaoqin Zhang; Yafei Liu; Shouyi Yin; Zheng Yang
10.1109/tcad.2021.3135786,3539,4,BEIJING TOPSEC NETWORK SECURITY TECH CO LTD; INFORMATION AND COMMUNICATION BRANCH OF STATE GRID HENAN ELECTRIC POWER COMPANY; YUNNAN POWER GRID CO LTD HONGHE POWER SUPPLY BUREAU; GUANGDONG SHENMA SEARCH TECH CO LTD; NAT OIL & GAS PIPE NETWORK GROUP CO LTD,Jing Xue; Shuhan Wang; Yun Wang; Yayi Wei
10.1109/tcad.2020.3037885,3518,7,KOREA RES INST CHEMICAL TECH; HONG IK ENG CO LTD; 3BILLION; UNIV HEBEI TECHNOLOGY; ZHEJIANG SCIENTIFIC RESEARCH INSTITUTE OF TRANSP,Hayoung Kim; Sicun Gao; Dongwon Park; Bill Lin; Ilgweon Kang
10.1016/j.mejo.2025.106750,3411,2,HEFEI KDLIAN SAFETY TECH CO LTD; TRINA SOLAR CO LTD; UNIV JIANGSU TECHNOLOGY; UNIV CENTRAL CHINA NORMAL; Tianfu Xinglonghu Laboratory,Zhijie Yang; Jie Sun
10.1109/tcad.2025.3566297,3241,13,UNIV WENZHOU; HUNAN RONGSHENG ELECTRIC POWER ENG CONSTRUCTION CO LTD; GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP LTD; JIANGXI EAST ROAD BRIDGE CONSTRUCTION GROUP CO LTD; HUAYUAN SEMICONDUCTOR SHENZHEN LTD COMPANY,Tianqi Wang; Runsheng Wang; Yibo Lin; Yifan Chen; Yu Jiang
10.1109/tcad.2022.3197980,2984,5,NANJING INSTITUTE OF ENVIRONMENTAL SCIENCES MINI OF ECOLOGY AND ENVIRONMENT OF THE PEOPLES REPUBLIC; KT CORP; BEIJING GOULI TECH CO LTD; SHENYANG AERODYNAMICS RES INST AVIATION IND CORP CHINA; POWERCHINA CHONGQING ENG CORP LTD,Chengsi Gao; Ying Wang; Weiwei Chen; Yinhe Han; Lei Zhang
10.1109/tcad.2022.3185540,2965,2,SHANGHAI SUOCHEN INFORMATION TECH CO LTD; FULIAN TECH JINCHENG CO LTD; INST COMPUTING TECH CAS; SHANGHAI HAIHUI REAL ESTATE DEV CO LTD; JIANGXI PROVINCIAL ACADEMY OF EMERGENCY MAN SCIENCES,Yuan Xie; Cong Hao
