matched_company,family_id,publication_number,earliest_date,assignee,title,country_code,cpc_codes
AMD,81454485,US-2022147668-A1,20220512,ADVANCED MICRO DEVICES INC,Reducing burn-in for monte-carlo simulations via machine learning,US,G06F18/214;G06F18/214;G06N7/01;G06F18/295;G06N20/00;G06F17/18;G06F17/18;G06F2111/08;G06F30/27;G06F17/18;G06F2111/08;G06K9/6256;G06F30/27;G06F2111/08;G06F30/27
AMD,78006380,US-2021319312-A1,20211014,ADVANCED MICRO DEVICES INC,Deep learning acceleration of physics-based modeling,US,G06N3/045;G06N3/09;G06N3/0464;G06F30/27;G06F17/17;G06N3/08;G06F17/17;G06N3/08
ASML,87418714,WO-2024022854-A1,20240201,ASML NETHERLANDS BV,Training a machine learning model to generate mrc and process aware mask pattern,WO,G06F30/27;G06F30/32;G03F1/36;G03F7/705;G03F7/70441;G06N3/045;G06N3/042;G06N3/09;G06N3/084
ASML,84389293,WO-2023110285-A1,20230622,ASML NETHERLANDS BV,Method and system of defect detection for inspection sample based on machine learning model,WO,G06T2207/30148;G06T2207/20081;G06N3/0455;G06T7/0004;G06T2207/30148;G06T7/0004;G06F30/30;G03F7/706841;G03F7/7065;G06N3/088;G06N3/09;G06N3/0455;G06N3/048;G06N3/084;G06N3/09;G03F7/7065;G03F7/706841;G06N3/047;G06N3/0455;G06N3/0442;G06N3/0475
ASML,74561883,US-2023100578-A1,20230330,ASML NETHERLANDS BV,Method for determining a mask pattern comprising optical proximity corrections using a trained machine learning model,US,G06F30/27;G06F30/398;G03F7/70441;G03F7/70441;G03F1/36;G03F7/705;G03F1/36;G03F7/70441;G03F1/36;G06N3/0464;G03F7/705
ASML,68621292,US-2021286270-A1,20210916,ASML NETHERLANDS BV,Method for decreasing uncertainty in machine learning model predictions,US,G06N3/084;G06N3/045;G06N3/047;G06N3/045;G06N3/0455;G06N3/09;G06N3/0464;G06N20/00;G03F1/36;G03F7/70508;G06N3/082;G03F7/705;G03F7/705;G03F1/36;G06N3/082;G03F7/70441;G03F7/705;G06N3/084;G03F7/70441;G06N20/00;G03F7/705;G06N3/0454;G03F7/70508;G06N3/047;G06N3/045;G06F30/347;G06N3/047;G06N3/082
ASML,68289914,CN-118915395-A,20200801,ASML NETHERLANDS BV,Method for generating a characteristic pattern and training a machine learning model,CN,G06N3/0464;G06N3/094;G06N3/0475;G03F7/70441;G03F7/705;G06N3/045;G06N3/08;G03F7/70525;G03F7/705;G03F7/706839;G06N20/00;G03F7/70525;G03F7/70525;G06F30/392;G03F7/705;G03F7/705
ASML,62116457,US-2020050099-A1,20200213,ASML NETHERLANDS BV,Assist feature placement based on machine learning,US,G06F30/392;G06T7/0004;G06N20/10;G03F1/36;G03F1/36;G05B19/4097;G06T2207/30148;G06T7/60;G06T2207/30148;G06T7/0004;G05B19/4097;G06F17/5072;G06K9/4604;G06T7/60;G06N20/10;G03F1/36;G03F1/36
ASML,65516640,TW-202040441-A,20191001,ASML NETHERLANDS BV,Methods for training machine learning model for computation lithography,TW,G06N3/045;G06N3/0464;G06N3/09;G06N3/08;G06F30/20;G03F1/36;G06N3/084;G06N3/045;G06N3/08;G06N3/084;G06N3/04;G06F30/20;G06N20/00;G03F1/36
ASML,63528763,KR-20220079699-A,20190314,ASML NETHERLANDS BV,Training methods for machine learning assisted optical proximity error correction,KR,G06V10/46;G06F30/392;G03F7/705;G03F1/36;G06V10/82;G06V10/774;G06V10/44;G06N20/00;G06N5/01;G06N3/045;G06N3/09;G06N3/0464;G03F7/705;G03F7/705;G06N3/08;G03F7/70441;G06N20/10;G06N5/047;G06N20/10;G06N20/20;G06F30/398;G03F7/70441;G06N3/08;G03F1/36;G03F7/705;G03F1/36;G03F7/70441;G06F30/398;G06N20/00;G03F7/70441;G06N3/08;G06N5/003;G03F7/705;G06N3/0454;G06N20/20;G06F30/398;G03F1/36;G06N20/10;G06N20/20;G06N5/01;G06N3/045
