company,strict_patent_families,publications_in_slr,patent_to_pub_ratio
IBM,41,4,10.25
Samsung,35,9,3.89
Siemens,33,6,5.50
Synopsys,25,1,25.00
NVIDIA,23,7,3.29
ASML,11,0,inf
Intel,10,8,1.25
Cadence,10,1,10.00
TSMC,7,3,2.33
Huawei,6,1,6.00
Google,6,0,inf
Mentor Graphics,5,0,inf
Applied Materials,5,0,inf
Qualcomm,4,2,2.00
MediaTek,4,0,inf
KLA,4,0,inf
AMD,2,1,2.00
Meta,2,0,inf
Micron,2,0,inf
NXP,1,2,0.50
STMicroelectronics,1,1,1.00
SK Hynix,0,3,0.00
Apple,0,0,—
ARM,0,0,—
Infineon,0,0,—
Broadcom,0,0,—
Lam Research,0,0,—
imec,0,0,—
