method,stage,year,count
anomaly_detection,design,2018,1
anomaly_detection,design,2023,1
anomaly_detection,design,2024,1
anomaly_detection,fabrication,2015,1
anomaly_detection,fabrication,2020,1
anomaly_detection,fabrication,2024,1
anomaly_detection,in_field,2015,1
anomaly_detection,in_field,2019,3
anomaly_detection,in_field,2020,3
anomaly_detection,in_field,2021,1
anomaly_detection,in_field,2022,1
anomaly_detection,in_field,2023,5
anomaly_detection,in_field,2024,4
anomaly_detection,in_field,2025,4
anomaly_detection,in_field,2026,2
bayesian_probabilistic,design,2015,3
bayesian_probabilistic,design,2016,4
bayesian_probabilistic,design,2017,2
bayesian_probabilistic,design,2018,5
bayesian_probabilistic,design,2019,2
bayesian_probabilistic,design,2020,4
bayesian_probabilistic,design,2021,5
bayesian_probabilistic,design,2022,7
bayesian_probabilistic,design,2023,7
bayesian_probabilistic,design,2024,8
bayesian_probabilistic,design,2025,11
bayesian_probabilistic,design,2026,7
bayesian_probabilistic,disposal,2025,1
bayesian_probabilistic,fabrication,2015,1
bayesian_probabilistic,fabrication,2016,2
bayesian_probabilistic,fabrication,2018,2
bayesian_probabilistic,fabrication,2019,2
bayesian_probabilistic,fabrication,2020,6
bayesian_probabilistic,fabrication,2021,4
bayesian_probabilistic,fabrication,2022,3
bayesian_probabilistic,fabrication,2023,1
bayesian_probabilistic,fabrication,2024,5
bayesian_probabilistic,fabrication,2025,6
bayesian_probabilistic,fabrication,2026,2
bayesian_probabilistic,in_field,2016,1
bayesian_probabilistic,in_field,2017,1
bayesian_probabilistic,in_field,2018,2
bayesian_probabilistic,in_field,2019,1
bayesian_probabilistic,in_field,2020,1
bayesian_probabilistic,in_field,2021,4
bayesian_probabilistic,in_field,2022,1
bayesian_probabilistic,in_field,2023,3
bayesian_probabilistic,in_field,2026,4
bayesian_probabilistic,packaging,2018,1
bayesian_probabilistic,packaging,2019,1
bayesian_probabilistic,packaging,2021,1
bayesian_probabilistic,packaging,2023,1
bayesian_probabilistic,packaging,2026,2
classical_ml,design,2015,1
classical_ml,design,2016,1
classical_ml,design,2017,7
classical_ml,design,2018,6
classical_ml,design,2019,10
classical_ml,design,2020,13
classical_ml,design,2021,13
classical_ml,design,2022,11
classical_ml,design,2023,13
classical_ml,design,2024,18
classical_ml,design,2025,16
classical_ml,design,2026,7
classical_ml,fabrication,2015,3
classical_ml,fabrication,2016,4
classical_ml,fabrication,2017,3
classical_ml,fabrication,2018,8
classical_ml,fabrication,2019,7
classical_ml,fabrication,2020,6
classical_ml,fabrication,2021,9
classical_ml,fabrication,2022,5
classical_ml,fabrication,2023,5
classical_ml,fabrication,2024,10
classical_ml,fabrication,2025,9
classical_ml,fabrication,2026,5
classical_ml,in_field,2015,1
classical_ml,in_field,2017,4
classical_ml,in_field,2018,1
classical_ml,in_field,2019,5
classical_ml,in_field,2020,4
classical_ml,in_field,2021,1
classical_ml,in_field,2022,9
classical_ml,in_field,2023,4
classical_ml,in_field,2024,4
classical_ml,in_field,2025,11
classical_ml,in_field,2026,6
classical_ml,packaging,2015,1
classical_ml,packaging,2018,1
classical_ml,packaging,2020,3
classical_ml,packaging,2021,2
classical_ml,packaging,2022,2
classical_ml,packaging,2023,1
classical_ml,packaging,2024,2
classical_ml,packaging,2025,5
classical_ml,packaging,2026,3
classical_ml,transit,2015,1
classical_ml,transit,2018,2
classical_ml,transit,2019,1
classical_ml,transit,2020,1
classical_ml,transit,2022,4
classical_ml,transit,2023,1
classical_ml,transit,2026,1
deep_learning,design,2015,3
deep_learning,design,2016,5
deep_learning,design,2017,3
deep_learning,design,2018,11
deep_learning,design,2019,24
deep_learning,design,2020,22
deep_learning,design,2021,27
deep_learning,design,2022,26
deep_learning,design,2023,30
deep_learning,design,2024,14
deep_learning,design,2025,51
deep_learning,design,2026,18
deep_learning,fabrication,2015,1
deep_learning,fabrication,2016,2
deep_learning,fabrication,2017,5
deep_learning,fabrication,2018,4
deep_learning,fabrication,2019,6
