method,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
anomaly_detection,2,0,0,1,3,4,1,1,6,6,4,2
bayesian_probabilistic,4,7,3,10,6,11,14,11,12,13,18,15
classical_ml,7,5,14,18,23,27,25,31,24,34,41,22
deep_learning,5,9,11,21,41,43,61,50,63,50,104,54
evolutionary_optimization,3,9,3,5,1,4,1,9,6,6,13,2
general_ml_signals,0,6,5,6,15,6,8,11,22,16,40,21
generative_adversarial,6,8,13,11,18,23,16,9,18,22,35,26
graph_neural_networks,0,0,0,0,1,5,12,16,19,17,26,18
llm_foundation_models,0,0,0,0,0,1,1,2,4,18,88,45
reinforcement_learning,2,0,1,2,4,4,15,10,15,25,22,21
symbolic_reasoning,6,6,2,5,1,1,5,4,2,3,4,2
transfer_learning,0,0,0,2,0,3,3,5,2,2,7,1
unspecified_ai,1075,1170,973,1119,963,967,864,994,1114,1109,1605,962
