method,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
anomaly_detection,1,0,0,0,1,1,0,0,1,1,0,0
bayesian_probabilistic,2,7,1,7,3,10,6,9,6,8,12,7
classical_ml,5,3,6,13,17,12,15,17,14,17,21,8
deep_learning,0,0,0,4,15,17,22,21,28,20,33,19
evolutionary_optimization,0,4,0,2,0,2,1,5,4,5,8,1
general_ml_signals,0,5,3,1,12,5,3,6,12,13,18,10
generative_adversarial,2,1,3,3,5,5,3,2,8,5,5,9
graph_neural_networks,0,0,0,0,0,2,8,12,15,11,16,9
llm_foundation_models,0,0,0,0,0,0,0,0,2,8,44,21
reinforcement_learning,1,0,0,0,0,4,7,6,9,14,14,13
symbolic_reasoning,2,3,0,5,1,1,4,3,1,2,2,1
transfer_learning,0,0,0,1,0,2,2,3,2,1,3,0
unspecified_ai,432,464,393,447,379,372,305,365,388,371,609,341
