method,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
anomaly_detection,0.0018018018018018018,0.0,0.0,0.0008333333333333334,0.0027881040892193307,0.003639672429481347,0.0009746588693957114,0.0008673026886383347,0.0045906656465187455,0.004542013626040878,0.001993024414549078,0.0016792611251049538
bayesian_probabilistic,0.0036036036036036037,0.005737704918032787,0.002926829268292683,0.008333333333333333,0.0055762081784386614,0.010009099181073703,0.01364522417153996,0.009540329575021683,0.009181331293037491,0.00984102952308857,0.008968609865470852,0.012594458438287154
classical_ml,0.006306306306306306,0.004098360655737705,0.013658536585365854,0.015,0.02137546468401487,0.02456778889899909,0.024366471734892786,0.026886383347788378,0.018362662586074982,0.025738077214231644,0.02042850024912805,0.018471872376154493
deep_learning,0.0045045045045045045,0.007377049180327869,0.010731707317073172,0.0175,0.03810408921933085,0.039126478616924476,0.0594541910331384,0.04336513443191674,0.04820198928844682,0.03785011355034065,0.051818634778276036,0.04534005037783375
evolutionary_optimization,0.002702702702702703,0.007377049180327869,0.002926829268292683,0.004166666666666667,0.0009293680297397769,0.003639672429481347,0.0009746588693957114,0.007805724197745013,0.0045906656465187455,0.004542013626040878,0.0064773293472845045,0.0016792611251049538
general_ml_signals,0.0,0.004918032786885246,0.004878048780487805,0.005,0.013940520446096654,0.00545950864422202,0.007797270955165692,0.009540329575021683,0.016832440703902066,0.012112036336109008,0.019930244145490782,0.017632241813602016
generative_adversarial,0.005405405405405406,0.006557377049180328,0.012682926829268294,0.009166666666666667,0.016728624535315983,0.020928116469517744,0.015594541910331383,0.007805724197745013,0.013771996939556235,0.016654049962149888,0.017438963627304436,0.0218303946263644
graph_neural_networks,0.0,0.0,0.0,0.0,0.0009293680297397769,0.004549590536851683,0.011695906432748537,0.013876843018213356,0.014537107880642693,0.012869038607115822,0.012954658694569009,0.015113350125944584
llm_foundation_models,0.0,0.0,0.0,0.0,0.0,0.0009099181073703367,0.0009746588693957114,0.0017346053772766695,0.00306044376434583,0.013626040878122634,0.04384653712007972,0.037783375314861464
reinforcement_learning,0.0018018018018018018,0.0,0.000975609756097561,0.0016666666666666668,0.0037174721189591076,0.003639672429481347,0.014619883040935672,0.008673026886383347,0.011476664116296864,0.018925056775170326,0.01096163428001993,0.017632241813602016
symbolic_reasoning,0.005405405405405406,0.004918032786885246,0.001951219512195122,0.004166666666666667,0.0009293680297397769,0.0009099181073703367,0.004873294346978557,0.003469210754553339,0.001530221882172915,0.002271006813020439,0.001993024414549078,0.0016792611251049538
transfer_learning,0.0,0.0,0.0,0.0016666666666666668,0.0,0.00272975432211101,0.0029239766081871343,0.004336513443191674,0.001530221882172915,0.001514004542013626,0.003487792725460887,0.0008396305625524769
unspecified_ai,0.9684684684684685,0.9590163934426229,0.9492682926829268,0.9325,0.8949814126394052,0.8798908098271155,0.8421052631578947,0.8620988725065047,0.8523335883703137,0.8395155185465556,0.7997010463378177,0.8077246011754828
