stage,year,query,page_start,page_index,eid,title,creator,coverDate,publicationName,doi,citedby_count,subtype,aggregationType
fabrication,2015,"TITLE-ABS-KEY(""yield"" OR ""wafer"" OR ""die yield"" OR ""defect detection"" OR ""defect classification"" OR metrology OR ""process variation"" OR photolithography OR ""layer deposition"" OR ALD OR OPC OR ""critical dimension"" OR CMP) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2015 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",0,0,2-s2.0-84960095683,Virtual Prototyper (ViPro): An SRAM Design Tool for Yield Constrained Optimization,Boley J.,2015-12-01,IEEE Transactions on Very Large Scale Integration VLSI Systems,10.1109/TVLSI.2014.2385832,0,Article,Journal
fabrication,2015,"TITLE-ABS-KEY(""yield"" OR ""wafer"" OR ""die yield"" OR ""defect detection"" OR ""defect classification"" OR metrology OR ""process variation"" OR photolithography OR ""layer deposition"" OR ALD OR OPC OR ""critical dimension"" OR CMP) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2015 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",0,0,2-s2.0-84959544801,Coupling Mitigation in 3-D Multiple-Stacked Devices,Yaghini P.M.,2015-12-01,IEEE Transactions on Very Large Scale Integration VLSI Systems,10.1109/TVLSI.2014.2379263,7,Article,Journal
fabrication,2015,"TITLE-ABS-KEY(""yield"" OR ""wafer"" OR ""die yield"" OR ""defect detection"" OR ""defect classification"" OR metrology OR ""process variation"" OR photolithography OR ""layer deposition"" OR ALD OR OPC OR ""critical dimension"" OR CMP) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2015 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",0,0,2-s2.0-84961782042,DFT Architecture with Power-Distribution-Network Consideration for Delay-Based Power Gating Test,Tenentes V.,2015-12-01,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,10.1109/TCAD.2015.2446939,6,Article,Journal
fabrication,2015,"TITLE-ABS-KEY(""yield"" OR ""wafer"" OR ""die yield"" OR ""defect detection"" OR ""defect classification"" OR metrology OR ""process variation"" OR photolithography OR ""layer deposition"" OR ALD OR OPC OR ""critical dimension"" OR CMP) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2015 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",0,0,2-s2.0-84949894853,Effect of NBTI/PBTI aging and process variations on write failures in MOSFET and FinFET flip-flops,Khalid U.,2015-12-01,Microelectronics Reliability,10.1016/j.microrel.2015.07.050,34,Article,Journal
fabrication,2015,"TITLE-ABS-KEY(""yield"" OR ""wafer"" OR ""die yield"" OR ""defect detection"" OR ""defect classification"" OR metrology OR ""process variation"" OR photolithography OR ""layer deposition"" OR ALD OR OPC OR ""critical dimension"" OR CMP) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2015 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",0,0,2-s2.0-84948843855,Inverse Gaussian distribution based timing analysis of Sub-threshold CMOS circuits,Chen J.,2015-12-01,Microelectronics Reliability,10.1016/j.microrel.2015.09.021,9,Article,Journal
fabrication,2015,"TITLE-ABS-KEY(""yield"" OR ""wafer"" OR ""die yield"" OR ""defect detection"" OR ""defect classification"" OR metrology OR ""process variation"" OR photolithography OR ""layer deposition"" OR ALD OR OPC OR ""critical dimension"" OR CMP) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2015 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",0,0,2-s2.0-84951320501,Impact of die thinning on the thermal performance of a central TSV bus in a 3D stacked circuit,Melamed S.,2015-12-01,Microelectronics Journal,10.1016/j.mejo.2015.09.007,14,Article,Journal
fabrication,2015,"TITLE-ABS-KEY(""yield"" OR ""wafer"" OR ""die yield"" OR ""defect detection"" OR ""defect classification"" OR metrology OR ""process variation"" OR photolithography OR ""layer deposition"" OR ALD OR OPC OR ""critical dimension"" OR CMP) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2015 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",0,0,2-s2.0-84945405267,Breakdown data generation and in-die deconvolution methodology to address BEOL and MOL dielectric breakdown challenges,Chen F.,2015-12-01,Microelectronics Reliability,10.1016/j.microrel.2015.09.017,19,Article,Journal
fabrication,2015,"TITLE-ABS-KEY(""yield"" OR ""wafer"" OR ""die yield"" OR ""defect detection"" OR ""defect classification"" OR metrology OR ""process variation"" OR photolithography OR ""layer deposition"" OR ALD OR OPC OR ""critical dimension"" OR CMP) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2015 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",0,0,2-s2.0-84950275009,Heat and mass transfer reduced order modeling approach of droplet microreactor based Lab-on-a-Chip devices,Németh M.,2015-12-01,Microelectronics Journal,10.1016/j.mejo.2015.09.008,6,Article,Journal
fabrication,2015,"TITLE-ABS-KEY(""yield"" OR ""wafer"" OR ""die yield"" OR ""defect detection"" OR ""defect classification"" OR metrology OR ""process variation"" OR photolithography OR ""layer deposition"" OR ALD OR OPC OR ""critical dimension"" OR CMP) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2015 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",0,0,2-s2.0-84961822569,DÉJÀ VU: An Entropy Reduced Hash Function for VLSI Layout Databases,Koranne S.,2015-11-01,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,10.1109/TCAD.2015.2432132,4,Article,Journal
fabrication,2015,"TITLE-ABS-KEY(""yield"" OR ""wafer"" OR ""die yield"" OR ""defect detection"" OR ""defect classification"" OR metrology OR ""process variation"" OR photolithography OR ""layer deposition"" OR ALD OR OPC OR ""critical dimension"" OR CMP) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2015 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",0,0,2-s2.0-84919459380,Automated Technology Migration Methodology for Mixed-Signal Circuit Based on Multistart Optimization Framework,Qian L.,2015-11-01,IEEE Transactions on Very Large Scale Integration VLSI Systems,10.1109/TVLSI.2014.2377013,20,Article,Journal
