matched_company,family_id,publication_number,earliest_date,assignee,title,country_code,cpc_codes
IBM,85153381,US-2023039397-A1,20230209,IBM,Using artificial intelligence to optimize seam placement on 3d models,US,G06V20/653;G06T19/00;G06F30/10;G06F30/12;G06F2113/12;G06N20/00;G06F30/10;G06N20/00;G06F30/10;G06N20/00
IBM,84786101,US-2023004701-A1,20230105,IBM,"Integrated circuit development using machine learning-based prediction of power, performance, and area",US,G06N20/20;G06F30/367;G06N20/20;G06F30/367;G06N20/20;G06F2119/20;G06F30/27;G06F30/32
IBM,84818219,GB-202215433-D0,20221130,IBM,Reinforcement learning based correction of timing failures,GB,G06F30/3312;G06F30/337;G06F2119/12;G06F30/33;G06F30/27;G06F30/398;G06F30/27;G06F30/33;G06F30/337;G06F30/398;G06F2119/12;G06N3/092;G06N3/04
IBM,68765018,US-10699055-B2,20191212,IBM,Generative adversarial networks for generating physical design layout patterns,US,G06N3/048;G06N3/045;G06N3/045;G06N3/044;G06N3/047;G06N3/094;G06N3/0464;G06N3/0475;Y02P90/02;G06F30/27;G06F2119/18;G06F30/398;G06F30/398;G06F2111/20;G06F2119/18;G06N3/088;G06F2111/20;G06N3/08;G06F2111/20;G06F30/398;G06N3/0454;G06N3/088;G06F2119/18
IBM,68765141,US-2019377848-A1,20191212,IBM,Coordinates-based variational autoencoder for generating synthetic via layout patterns,US,G06F2111/20;G06F2111/02;G06F30/398;G06N3/08;G06N3/042;G06N3/047;G06F2111/20;G06F30/398;G06N3/08;G06N3/08;G06F2217/02;G06F17/5081;G06N3/0455;G06N3/09;G06N3/0475
IBM,68693874,US-10592635-B2,20191205,IBM,Generating synthetic layout patterns by feedforward neural network based variational autoencoders,US,G06N5/046;G06N3/088;G06N3/04;G06F30/398;G06N3/04;G06N3/088;G06N5/046;G06F17/5081;G06N3/047;G06N3/08;G06N3/045;G06N3/0464;G06N3/0475;G06N3/0455;G06F30/392;G06F30/27
IBM,68693964,US-2019370431-A1,20191205,IBM,Coordinates-based generative adversarial networks for generating synthetic physical design layout patterns,US,G06F30/394;G06F30/27;G06F30/392;G06N3/044;G06N3/045;G06N3/047;G06N3/08;G06F30/394;G06N3/04;G06N3/04;G06F17/5072;G06F17/5077;G06N3/0499;G06N3/094;G06N3/0475;G03F1/36;G06F30/392
Samsung,96501384,US-2025244658-A1,20250731,SAMSUNG ELECTRONICS CO LTD,Optical proximity correction method based on deep learning and mask manufacturing method comprising optical proximity correction method,US,G06N3/0985;G06N3/045;G06N3/0464;G03F7/70441;G03F7/705;G03F1/36;G06F30/27;G06F30/27;G03F1/36;G06F30/27;G03F1/36
Samsung,90626489,KR-20240052351-A,20240416,SAMSUNG ELECTRONICS CO LTD,Layout design system using deep reinforcement learning and learning method thereof,KR,G06F2117/12;G06N3/08;G06N3/0464;G06F30/27;G06F30/398;G06F30/392;G06N3/08;G06N3/0464;G06F30/27;G06F30/392;G06F30/392;G06F30/27;G06F30/398;G06N3/04;G06N3/08;G06F2117/12;G06F30/392;G06F30/392;G06F30/27;G06F30/398
Samsung,88239466,US-2023325577-A1,20231012,SAMSUNG ELECTRONICS CO LTD,"Method verifying process proximity correction using machine learning, and semiconductor manufacturing method using same",US,G06F30/398;G06F2119/02;G06F30/398;G06F2119/18;G06F2119/02;G06F30/398;G03F7/70441;G03F1/36;G06N20/00
Samsung,87834614,US-2023281792-A1,20230905,SAMSUNG ELECTRONICS CO LTD,Operating method of electronic device including processor executing semiconductor layout simulation module based on machine learning,US,H10D89/10;G06F30/392;G06T11/00;G06F30/398;G06T7/001;G06T2207/20081;G06T2207/30148;G06F30/398;G06F30/392;G06F30/27;G06N20/00;G06F30/392;G06T7/001;G06N20/00;G06F2115/10;G06F2115/02;G06T2207/20081;G06T2207/30148;G06T7/001;G06T11/00;G06T3/40;G06F30/392;G06T2207/30148;G06T2207/20081;G06T7/001;G06T11/00;G06T2207/20081;G06F30/392;G06T2207/30148;G06T3/40
Samsung,86742883,US-2023197460-A1,20230620,SAMSUNG ELECTRONICS CO LTD,Image-based semiconductor device patterning method using deep neural network,US,G03F7/70616;H01L21/308;G06V10/82;G06V10/46;G06T3/4007;H01L21/308;G06V10/82;G06V10/46;G03F7/70616;G06T3/4007;G06N3/084;G06N3/045;G06N3/0475;G06V10/82;G06V10/757;G06V10/752;G06V10/26;G06V30/422;G06V10/82;G06F30/392;G06F30/398;G03F7/70441;G03F1/36
Samsung,81752524,US-12086526-B2,20220602,SAMSUNG ELECTRONICS CO LTD,Methods and devices of correcting layout for semiconductor processes using machine learning,US,G06N3/094;G06N3/0464;G06N3/0475;G06N3/09;G06N20/00;H10B43/27;H10B41/27;G06N20/00;H01L21/76802;H01L21/31116;G06N3/045;G03F7/705;G03F7/70441;G06F30/392;G06F30/398;G06F30/27;G06N3/08;G06F30/398;H01L21/31144;G06N20/20;G06N20/00;G06F30/398
Samsung,81079242,US-12223246-B2,20220414,SAMSUNG ELECTRONICS CO LTD,"Systems, methods, and computer program products for transistor compact modeling using artificial neural networks",US,G06N3/0499;G06N3/082;G06N3/09;G06N3/08;G06F2119/02;G06N3/048;G06N3/084;G06F30/27;G06F30/367;G06N3/048;G06F30/367;G06F30/27;G06F30/367;G06F30/3308;G06N3/084;G06F2119/02;G06N3/08;G06F30/367
Synopsys,93037389,WO-2025072370-A1,20250327,SYNOPSYS INC,Custom layout recommendation using machine learning,WO,G06F2119/20;G06F30/36;G06F30/31;G06F30/394;G06F30/392;G06N3/04;G06F30/27
Synopsys,93123287,US-12124782-B1,20241022,SYNOPSYS INC,Machine learning-enabled estimation of path-based timing analysis based on graph-based timing analysis,US,G06N20/20;G06F30/27;G06N5/01;G06F2119/12;G06F30/3312;G06N5/01;G06F2119/12;G06F30/3312;G06F2119/12;G06N5/01;G06F30/3312
Synopsys,88979861,US-11836435-B1,20231205,SYNOPSYS INC,Machine learning based parasitic estimation for an integrated circuit chip design,US,G06F30/398;G06F30/394;G06N20/00;G06F2119/02;G06F30/398;G06F2119/02;G06N20/00;G06F30/394;G06F30/398;G06F30/394;G06F30/367;G06F30/27;G06F2119/10;G06N3/09;G06N3/0464
Synopsys,77389866,US-11100270-B1,20210824,SYNOPSYS INC,Pattern based die connector assignment using machine learning image recognition,US,G06V30/19173;G06V10/82;G06F30/392;G06F30/27;G06N3/045;G06V30/19173;G06N3/09;G06N3/096;G06N3/0464;G06F30/27;G06V10/82;G06N3/08;G06V30/242;G06V2201/06;G06F30/31;G06F30/392;G06N3/08;G06N3/08;G06F30/392;G06K9/6807;G06F30/27
Synopsys,73943339,US-2023375916-A1,20210617,SYNOPSYS INC,Inverse lithography and machine learning for mask synthesis,US,G06N3/0464;G06N3/09;G06N3/098;G06N3/0455;G03F1/70;G06F30/33;G06F30/39;G03F1/36;G03F1/76;G06N3/08;G03F1/36;G03F1/70;G03F1/70;G03F1/70;G03F7/705;G06N3/08;G03F7/70441;G06F30/398;G06N5/01;G06N3/045;G03F1/36;G03F7/70441;G03F7/705;G06N20/10;G06N3/08;G06N3/045;G06F30/33;G06F30/39;G03F1/36;G03F1/76;G06N3/08
Synopsys,74679862,US-12293279-B2,20210304,SYNOPSYS INC,Neural network based mask synthesis for integrated circuits,US,G06N3/09;G06N3/0499;G06N3/08;G06F30/392;G06F2119/02;G06N3/04;G06F30/394;G06F30/398;G06N3/045;G06F2119/02;G06N3/063;G06N3/084;G03F7/70441;G03F1/70;G03F1/36;G06F30/392;G06N3/045;G06N3/084;G06F30/30;G06F30/27;G03F7/70441;G03F1/70;G06N3/045;G06F30/398;G06F30/394;G06F30/392;G06N3/084;G06N3/063;G03F7/70441;G03F1/70;G06N3/063;G06F30/27;G03F1/36;G03F1/36;G06F2119/02;G06N3/08;G06N3/04;G06F30/392;G06N3/063
