matched_company,family_id,publication_number,earliest_date,assignee,title,country_code,cpc_codes
ASML,84389293,WO-2023110285-A1,20230622,ASML NETHERLANDS BV,Method and system of defect detection for inspection sample based on machine learning model,WO,G06T2207/30148;G06T2207/20081;G06N3/0455;G06T7/0004;G06T2207/30148;G06T7/0004;G06F30/30;G03F7/706841;G03F7/7065;G06N3/088;G06N3/09;G06N3/0455;G06N3/048;G06N3/084;G06N3/09;G03F7/7065;G03F7/706841;G06N3/047;G06N3/0455;G06N3/0442;G06N3/0475
ASML,74561883,US-2023100578-A1,20230330,ASML NETHERLANDS BV,Method for determining a mask pattern comprising optical proximity corrections using a trained machine learning model,US,G06F30/27;G06F30/398;G03F7/70441;G03F7/70441;G03F1/36;G03F7/705;G03F1/36;G03F7/70441;G03F1/36;G06N3/0464;G03F7/705
ASML,80683808,US-2024184213-A1,20220913,ASML NETHERLANDS BV,Method of pattern selection for a semiconductor manufacturing related process,US,G03F7/705;G03F7/70508;G06F30/39;G06N3/0464;G06N20/00;G03F7/705;G03F7/705;G03F7/705;G03F7/705;G03F7/70508;G06N20/00;G03F7/70508;G06N3/0464;G06N3/09;G06N3/088;G03F7/70508;G06N3/088;G06N3/0464;G06N20/00;G06F30/39;G06N3/0464;G03F7/70508
ASML,74758578,US-2024094640-A1,20220831,ASML NETHERLANDS BV,Method to predict metrology offset of a semiconductor manufacturing process,US,G03F7/70625;G03F7/70558;G03F7/706839;G06F30/398;G03F7/705;G03F7/70625;H01L22/20;G03F7/70508;G03F7/70633;G03F7/70658;G03F7/70616;G03F7/70525;G05B19/41875;G06N20/00;H01L22/14;G06F30/398;G03F7/706839;G03F7/70558
ASML,69232820,US-2022100935-A1,20200806,ASML NETHERLANDS BV,Method and apparatus for layout pattern selection,US,G06N3/045;G06N3/09;G06N3/0464;G06F2111/20;G06N3/08;G06N3/0464;G06F30/392;G06F30/398;G06F30/30;G03F7/70441;G03F1/36;G06F30/27;G03F7/705;G06N20/00;G03F7/70441;G06N3/08;G06N3/084;G03F7/705;G06F30/30;G06N3/084;G03F1/36;G03F7/705;G06F30/30;G03F7/70441;G03F1/36;G06F30/30;G06N3/08;G03F7/70441;G03F7/705;G03F1/36;G06N3/045
ASML,63254137,US-10990018-B2,20180830,ASML NETHERLANDS BV,Computational metrology,US,G03F7/706833;G03F7/70508;G03F7/706839;G06F2119/22;G06F2119/18;G06F30/20;G03F7/70625;G03F7/70508;G03F7/705;G03F7/70491;G03F9/7046;G03F7/70641;G03F7/70633;G03F7/70625;G03F7/705;G03F7/70441;G03F7/70641;G03F7/70625;G03F7/70508;G03F7/70633;G03F7/70625;G03F7/70641;G03F7/705;G03F7/705;G03F9/7046;G03F7/70683;G03F7/70491;G06N3/02;G03F7/70633;G06N3/02;G03F7/70625;G03F7/70633;G03F7/70641;G03F7/70441;G03F7/70508;G03F7/705;G03F7/70683
ASML,55182318,US-10514614-B2,20160818,ASML NETHERLANDS BV,Process variability aware adaptive inspection and metrology,US,G06F30/20;G06F2119/18;G06F30/398;G03F7/705;G03F1/60;G03F7/7065;G06N20/00;G03F7/7065;G03F7/70525;G03F7/70641;G03F1/84;G03F7/70525;G03F7/705;G03F7/70666;G03F7/70525;G06F17/5009;G03F7/70641;G03F7/7065;G03F1/84;G03F1/60;G03F7/70666;G06F2217/12;G06N20/00;G03F7/705;G06F17/5081;G06N20/00
ASML,53268803,US-11080459-B2,20151210,ASML NETHERLANDS BV,Computational wafer inspection,US,G06N7/01;G03F7/705;G06N7/01;G06F30/20;G06F30/398;H01L22/20;G03F7/7065;G03F7/705;G03F7/70525;G03F7/7065;G03F7/70525;G03F7/705;H01L22/20;G03F7/70525;G06F30/398;G06F30/398;G03F7/7065;G06F30/20;G03F7/70525;G03F7/705;G06F30/20;G03F7/7065;H01L22/20;G06F30/20;G06F30/398;G03F7/705;G06N7/005;H01L22/20;G03F7/70525;G03F7/7065
ASML,51905062,US-2020257208-A1,20150625,ASML NETHERLANDS BV,Yield estimation and control,US,G06N7/01;G03F7/706837;G03F7/7065;G03F7/70508;G03F7/705;G03F7/70525;G06N20/00;G06F30/367;G03F7/705;G03F7/70525;G03F7/70525;G03F7/705;G06N20/00;G06N20/00;G03F7/705;G06N7/005;G06F30/367;G03F7/70525
Applied Materials,92460464,US-2024288779-A1,20240829,APPLIED MATERIALS INC,Methods and mechanisms for modifying machine-learning models for new semiconductor processing equipment,US,G06N20/00;G06F30/27;G06F30/392;H01L21/67011;G05B2219/2602;G06N3/096;G06N3/045;G05B13/041;G05B13/048;G03F7/705;G03F7/70516;G03F7/70516;G03F7/705;G03F7/70516;G03F7/705
Applied Materials,92304470,CN-118538624-A,20240822,APPLIED MATERIALS ISRAEL LTD,Yield prediction based on machine learning,CN,G06T2207/20084;G06T2207/20081;G06T2207/30148;G06N3/08;G06T7/0004;H01L21/67253;H01L21/67288;H01L22/20;H01L22/12;H01L22/10;G06F30/347;G06F30/27;H01L22/20;G06T7/001;G06N3/082;G06N3/04;G06N20/20;H01L21/67288;G06N3/04;G06T2207/30148;G06T2207/20081;G06T2207/10061;G06N3/082;H01J2237/24578;H01L21/67288;H01J37/222;H01J37/28;G06T7/001
