method,stage,year,count
anomaly_detection,in_field,2019,1
anomaly_detection,in_field,2020,3
anomaly_detection,in_field,2023,2
bayesian_probabilistic,design,2016,1
bayesian_probabilistic,design,2017,1
bayesian_probabilistic,design,2018,1
bayesian_probabilistic,design,2022,5
bayesian_probabilistic,design,2023,5
bayesian_probabilistic,design,2024,2
bayesian_probabilistic,design,2025,4
bayesian_probabilistic,design,2026,4
bayesian_probabilistic,disposal,2025,1
bayesian_probabilistic,fabrication,2015,1
bayesian_probabilistic,fabrication,2016,1
bayesian_probabilistic,fabrication,2018,1
bayesian_probabilistic,fabrication,2019,1
bayesian_probabilistic,fabrication,2020,4
bayesian_probabilistic,fabrication,2022,1
bayesian_probabilistic,fabrication,2024,2
bayesian_probabilistic,fabrication,2025,3
bayesian_probabilistic,fabrication,2026,2
bayesian_probabilistic,in_field,2018,1
bayesian_probabilistic,in_field,2021,1
bayesian_probabilistic,in_field,2022,1
bayesian_probabilistic,in_field,2023,1
bayesian_probabilistic,in_field,2026,2
bayesian_probabilistic,packaging,2018,1
bayesian_probabilistic,packaging,2023,1
classical_ml,design,2017,1
classical_ml,design,2019,2
classical_ml,design,2020,1
classical_ml,design,2021,4
classical_ml,design,2022,6
classical_ml,design,2023,7
classical_ml,design,2024,8
classical_ml,design,2025,4
classical_ml,design,2026,2
classical_ml,fabrication,2015,2
classical_ml,fabrication,2016,1
classical_ml,fabrication,2017,1
classical_ml,fabrication,2018,2
classical_ml,fabrication,2019,2
classical_ml,fabrication,2020,1
classical_ml,fabrication,2021,5
classical_ml,fabrication,2022,1
classical_ml,fabrication,2023,4
classical_ml,fabrication,2024,4
classical_ml,fabrication,2025,3
classical_ml,fabrication,2026,1
classical_ml,in_field,2015,1
classical_ml,in_field,2017,2
classical_ml,in_field,2020,1
classical_ml,in_field,2022,3
classical_ml,in_field,2023,3
classical_ml,in_field,2024,3
classical_ml,in_field,2025,4
classical_ml,in_field,2026,4
classical_ml,packaging,2015,1
classical_ml,packaging,2020,1
classical_ml,packaging,2022,1
classical_ml,packaging,2023,1
classical_ml,packaging,2024,1
classical_ml,packaging,2026,1
classical_ml,transit,2020,1
classical_ml,transit,2022,1
classical_ml,transit,2023,1
classical_ml,transit,2026,1
deep_learning,design,2017,1
deep_learning,design,2018,3
deep_learning,design,2019,5
deep_learning,design,2020,6
deep_learning,design,2021,9
deep_learning,design,2022,10
deep_learning,design,2023,13
deep_learning,design,2024,10
deep_learning,design,2025,23
deep_learning,design,2026,8
deep_learning,fabrication,2017,1
deep_learning,fabrication,2018,1
deep_learning,fabrication,2019,2
deep_learning,fabrication,2020,1
deep_learning,fabrication,2021,5
deep_learning,fabrication,2022,4
deep_learning,fabrication,2023,9
deep_learning,fabrication,2024,5
deep_learning,fabrication,2025,5
deep_learning,fabrication,2026,4
deep_learning,in_field,2018,1
deep_learning,in_field,2019,3
deep_learning,in_field,2021,5
deep_learning,in_field,2022,4
deep_learning,in_field,2023,5
deep_learning,in_field,2024,10
deep_learning,in_field,2025,8
deep_learning,in_field,2026,7
deep_learning,packaging,2018,1
deep_learning,packaging,2020,1
