method,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
anomaly_detection,0.0,0.0,0.0,0.0,0.002544529262086514,0.007317073170731708,0.0,0.0,0.0036036036036036037,0.0,0.0,0.0
bayesian_probabilistic,0.002631578947368421,0.004651162790697674,0.002347417840375587,0.00881057268722467,0.002544529262086514,0.00975609756097561,0.0026666666666666666,0.014553014553014554,0.012612612612612612,0.008368200836820083,0.010568031704095112,0.017241379310344827
classical_ml,0.010526315789473684,0.002325581395348837,0.009389671361502348,0.004405286343612335,0.010178117048346057,0.012195121951219513,0.024,0.02494802494802495,0.02882882882882883,0.03347280334728033,0.01453104359313078,0.01939655172413793
deep_learning,0.0,0.0,0.004694835680751174,0.013215859030837005,0.02544529262086514,0.01951219512195122,0.056,0.0395010395010395,0.055855855855855854,0.060669456066945605,0.06340819022457067,0.05603448275862069
evolutionary_optimization,0.002631578947368421,0.011627906976744186,0.002347417840375587,0.004405286343612335,0.002544529262086514,0.007317073170731708,0.0,0.006237006237006237,0.007207207207207207,0.006276150627615063,0.015852047556142668,0.004310344827586207
general_ml_signals,0.0,0.0069767441860465115,0.004694835680751174,0.0022026431718061676,0.005089058524173028,0.0024390243902439024,0.010666666666666666,0.006237006237006237,0.01981981981981982,0.008368200836820083,0.017173051519154558,0.021551724137931036
generative_adversarial,0.005263157894736842,0.009302325581395349,0.018779342723004695,0.013215859030837005,0.01272264631043257,0.01707317073170732,0.013333333333333334,0.008316008316008316,0.016216216216216217,0.02092050209205021,0.022457067371202115,0.021551724137931036
graph_neural_networks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014553014553014554,0.01981981981981982,0.016736401673640166,0.019815059445178335,0.017241379310344827
llm_foundation_models,0.010526315789473684,0.011627906976744186,0.002347417840375587,0.011013215859030838,0.005089058524173028,0.00975609756097561,0.005333333333333333,0.014553014553014554,0.007207207207207207,0.014644351464435146,0.043593130779392336,0.04310344827586207
reinforcement_learning,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.010395010395010396,0.009009009009009009,0.01882845188284519,0.010568031704095112,0.01939655172413793
symbolic_reasoning,0.0,0.002325581395348837,0.002347417840375587,0.00881057268722467,0.002544529262086514,0.0,0.008,0.002079002079002079,0.005405405405405406,0.0020920502092050207,0.0,0.0021551724137931034
transfer_learning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002079002079002079,0.0036036036036036037,0.0041841004184100415,0.002642007926023778,0.0
unspecified_ai,0.968421052631579,0.9511627906976744,0.9530516431924883,0.933920704845815,0.9312977099236641,0.9146341463414634,0.872,0.8565488565488566,0.8108108108108109,0.805439330543933,0.7793923381770145,0.7780172413793104
