stage,year,query,page_start,page_index,eid,title,creator,coverDate,publicationName,doi,citedby_count,subtype,aggregationType
disposal,2016,"TITLE-ABS-KEY(""electronic waste"" OR ""e-waste"" OR WEEE OR ""end-of-life"" OR ""end of life electronics"" OR ""electronics recycling"" OR ""semiconductor recycling"" OR ""circular economy electronics"" OR ""material recovery"" OR ""urban mining"" OR ""decommissioning"" OR demanufacturing OR dismantling OR ""secure erasure"" OR ""data sanitization"" OR ""cryptographic erasure"" OR ""RoHS"" OR ""hazardous substances"") AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2016 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",0,0,2-s2.0-84991661314,Internal processes in power semiconductors at virtual junction temperature measurement,Chen W.,2016-09-01,Microelectronics Reliability,10.1016/j.microrel.2016.07.125,16,Article,Journal
disposal,2017,"TITLE-ABS-KEY(""electronic waste"" OR ""e-waste"" OR WEEE OR ""end-of-life"" OR ""end of life electronics"" OR ""electronics recycling"" OR ""semiconductor recycling"" OR ""circular economy electronics"" OR ""material recovery"" OR ""urban mining"" OR ""decommissioning"" OR demanufacturing OR dismantling OR ""secure erasure"" OR ""data sanitization"" OR ""cryptographic erasure"" OR ""RoHS"" OR ""hazardous substances"") AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2017 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",0,0,2-s2.0-85024880252,Combined creep characterisation from single lap shear tests and 3D implementation for fatigue simulations,Pin S.,2017-09-01,Microelectronics Reliability,10.1016/j.microrel.2017.07.053,6,Article,Journal
disposal,2018,"TITLE-ABS-KEY(""electronic waste"" OR ""e-waste"" OR WEEE OR ""end-of-life"" OR ""end of life electronics"" OR ""electronics recycling"" OR ""semiconductor recycling"" OR ""circular economy electronics"" OR ""material recovery"" OR ""urban mining"" OR ""decommissioning"" OR demanufacturing OR dismantling OR ""secure erasure"" OR ""data sanitization"" OR ""cryptographic erasure"" OR ""RoHS"" OR ""hazardous substances"") AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2018 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",0,0,2-s2.0-85054782893,Creep measurement and choice of creep laws for BGA assemblies’ reliability simulation,Pin S.,2018-09-01,Microelectronics Reliability,10.1016/j.microrel.2018.07.029,4,Article,Journal
disposal,2018,"TITLE-ABS-KEY(""electronic waste"" OR ""e-waste"" OR WEEE OR ""end-of-life"" OR ""end of life electronics"" OR ""electronics recycling"" OR ""semiconductor recycling"" OR ""circular economy electronics"" OR ""material recovery"" OR ""urban mining"" OR ""decommissioning"" OR demanufacturing OR dismantling OR ""secure erasure"" OR ""data sanitization"" OR ""cryptographic erasure"" OR ""RoHS"" OR ""hazardous substances"") AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2018 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",0,0,2-s2.0-85045736365,Combined simulation and optical measurement technique for investigation of system effects on components solder fatigue,Dudek R.,2018-04-01,Microelectronics Reliability,10.1016/j.microrel.2018.02.016,11,Article,Journal
disposal,2020,"TITLE-ABS-KEY(""electronic waste"" OR ""e-waste"" OR WEEE OR ""end-of-life"" OR ""end of life electronics"" OR ""electronics recycling"" OR ""semiconductor recycling"" OR ""circular economy electronics"" OR ""material recovery"" OR ""urban mining"" OR ""decommissioning"" OR demanufacturing OR dismantling OR ""secure erasure"" OR ""data sanitization"" OR ""cryptographic erasure"" OR ""RoHS"" OR ""hazardous substances"") AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2020 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",0,0,2-s2.0-85083155024,Energy based modeling for temperature cycling induced tin silver copper solder interconnect fatigue life,Chen D.Y.,2020-06-01,Microelectronics Reliability,10.1016/j.microrel.2020.113651,29,Article,Journal
disposal,2022,"TITLE-ABS-KEY(""electronic waste"" OR ""e-waste"" OR WEEE OR ""end-of-life"" OR ""end of life electronics"" OR ""electronics recycling"" OR ""semiconductor recycling"" OR ""circular economy electronics"" OR ""material recovery"" OR ""urban mining"" OR ""decommissioning"" OR demanufacturing OR dismantling OR ""secure erasure"" OR ""data sanitization"" OR ""cryptographic erasure"" OR ""RoHS"" OR ""hazardous substances"") AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2022 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",0,0,2-s2.0-85136107859,Aging investigation of the latest standard dual power modules using improved interconnect technologies by power cycling test,Zhang Y.,2022-11-01,Microelectronics Reliability,10.1016/j.microrel.2022.114740,23,Article,Journal
disposal,2022,"TITLE-ABS-KEY(""electronic waste"" OR ""e-waste"" OR WEEE OR ""end-of-life"" OR ""end of life electronics"" OR ""electronics recycling"" OR ""semiconductor recycling"" OR ""circular economy electronics"" OR ""material recovery"" OR ""urban mining"" OR ""decommissioning"" OR demanufacturing OR dismantling OR ""secure erasure"" OR ""data sanitization"" OR ""cryptographic erasure"" OR ""RoHS"" OR ""hazardous substances"") AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2022 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",0,0,2-s2.0-85130850679,Application-aware aging analysis and mitigation for SRAM Design-for-Relability,Listl A.,2022-07-01,Microelectronics Reliability,10.1016/j.microrel.2022.114548,0,Article,Journal
disposal,2024,"TITLE-ABS-KEY(""electronic waste"" OR ""e-waste"" OR WEEE OR ""end-of-life"" OR ""end of life electronics"" OR ""electronics recycling"" OR ""semiconductor recycling"" OR ""circular economy electronics"" OR ""material recovery"" OR ""urban mining"" OR ""decommissioning"" OR demanufacturing OR dismantling OR ""secure erasure"" OR ""data sanitization"" OR ""cryptographic erasure"" OR ""RoHS"" OR ""hazardous substances"") AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2024 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",0,0,2-s2.0-85181581360,Fast Aging-Aware Timing Analysis Framework with Temporal-Spatial Graph Neural Network,Ye J.,2024-06-01,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,10.1109/TCAD.2023.3346298,3,Article,Journal
disposal,2024,"TITLE-ABS-KEY(""electronic waste"" OR ""e-waste"" OR WEEE OR ""end-of-life"" OR ""end of life electronics"" OR ""electronics recycling"" OR ""semiconductor recycling"" OR ""circular economy electronics"" OR ""material recovery"" OR ""urban mining"" OR ""decommissioning"" OR demanufacturing OR dismantling OR ""secure erasure"" OR ""data sanitization"" OR ""cryptographic erasure"" OR ""RoHS"" OR ""hazardous substances"") AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2024 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",0,0,2-s2.0-85189502449,Assessing thermal resistance as a degradation metric for solder bump arrays in discrete SiC MOSFET packages,Kilian B.,2024-05-01,Microelectronics Reliability,10.1016/j.microrel.2024.115388,5,Article,Journal
disposal,2025,"TITLE-ABS-KEY(""electronic waste"" OR ""e-waste"" OR WEEE OR ""end-of-life"" OR ""end of life electronics"" OR ""electronics recycling"" OR ""semiconductor recycling"" OR ""circular economy electronics"" OR ""material recovery"" OR ""urban mining"" OR ""decommissioning"" OR demanufacturing OR dismantling OR ""secure erasure"" OR ""data sanitization"" OR ""cryptographic erasure"" OR ""RoHS"" OR ""hazardous substances"") AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2025 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",0,0,2-s2.0-105011209038,Investigating the impact of parametric optimization on efficiency and radiation degradation performance of triple junction InGaP/InGaAs/Ge solar cells,Bhaskar P.,2025-10-01,Journal of Computational Electronics,10.1007/s10825-025-02381-8,0,Article,Journal
